semeval2007.d000.s000.t002 report%2:32:04::
semeval2013.d001.s009.t003 pressure%1:07:00::
semeval2013.d001.s009.t004 game%1:04:03::
semeval2013.d001.s010.t001 return%1:04:02::
semeval2013.d001.s010.t002 light%1:09:02::
semeval2013.d001.s012.t001 couple%1:23:01::
semeval2013.d001.s012.t002 play%1:04:05::
semeval2013.d001.s012.t007 end%1:28:00::
semeval2013.d001.s012.t008 quarter%1:28:01::
semeval2013.d001.s013.t000 period%1:28:02::
semeval2013.d001.s014.t002 line%1:15:01::
semeval2013.d001.s015.t003 game%1:04:03::
semeval2013.d002.s000.t000 wall_street%1:14:00::
semeval2013.d002.s001.t001 heading%1:15:00::
semeval2013.d002.s001.t003 market%1:14:01::
semeval2013.d002.s002.t000 closing%1:04:02::
semeval2013.d002.s002.t001 figure%1:07:01::
semeval2013.d002.s002.t002 point%1:26:00::
semeval2013.d002.s002.t003 point%1:26:00::
semeval2013.d002.s002.t005 technology%1:09:00::
semeval2013.d002.s002.t007 point%1:26:00::
semeval2013.d002.s002.t008 point%1:26:00::
semeval2013.d002.s003.t000 point%1:26:00::
semeval2013.d002.s003.t001 point%1:26:00::
semeval2013.d002.s004.t000 market%1:14:01::
semeval2013.d002.s005.t002 volume%1:07:03::
semeval2013.d002.s005.t003 case%1:09:00::
semeval2013.d002.s005.t004 end%1:28:00::
semeval2013.d002.s006.t001 publication%1:04:02::
semeval2013.d002.s006.t003 market%1:14:01::
semeval2013.d002.s006.t008 analyst%1:18:02::
semeval2013.d002.s007.t001 sale%1:04:02::
semeval2013.d002.s007.t004 row%1:07:00::
semeval2013.d002.s008.t000 confidence%1:26:02::
semeval2013.d002.s008.t005 index%1:10:01::
semeval2013.d002.s009.t000 index%1:10:01::
semeval2013.d002.s009.t005 pressure%1:07:00::
semeval2013.d002.s009.t006 sector%1:14:00::
semeval2013.d002.s010.t000 technology%1:09:00::
semeval2013.d002.s010.t001 security%1:21:04::
semeval2013.d002.s010.t002 ground%1:24:00::
semeval2013.d002.s012.t000 treasury%1:14:01::
semeval2013.d002.s012.t001 bond%1:21:02::
semeval2013.d002.s012.t002 yield%1:21:00::
semeval2013.d002.s012.t005 bond%1:21:02::
semeval2013.d002.s012.t006 yield%1:21:00::
semeval2013.d003.s000.t000 deal%1:10:00::
semeval2013.d003.s001.t001 violence%1:26:00::
semeval2013.d003.s001.t002 instability%1:07:00::
semeval2013.d003.s001.t005 infrastructure%1:06:00::
semeval2013.d003.s001.t006 auction%1:04:00::
semeval2013.d003.s002.t000 deal%1:10:00::
semeval2013.d003.s002.t003 russia%1:15:04::
semeval2013.d003.s002.t004 oil%1:27:01::
semeval2013.d003.s002.t011 sanction%1:04:02::
semeval2013.d003.s004.t001 auction%1:04:00::
semeval2013.d003.s005.t000 bid%1:10:00::
semeval2013.d003.s007.t000 representation%1:04:01::
semeval2013.d003.s007.t001 oil%1:27:01::
semeval2013.d003.s007.t002 giant%1:14:00::
semeval2013.d003.s007.t005 analyst%1:18:02::
semeval2013.d003.s008.t001 door%1:07:00::
semeval2013.d003.s008.t004 u.s.%1:15:00::
semeval2013.d003.s008.t006 way%1:04:00::
semeval2013.d003.s008.t008 news%1:10:01::
semeval2013.d003.s009.t001 offer%1:10:00::
semeval2013.d003.s010.t002 bombing%1:04:01::
semeval2013.d003.s010.t004 instability%1:07:00::
semeval2013.d003.s010.t005 u.s.%1:15:00::
semeval2013.d003.s010.t009 world%1:17:00::
semeval2013.d003.s010.t010 reserve%1:21:00::
semeval2013.d003.s011.t000 u.s.%1:15:00::
semeval2013.d003.s011.t006 energy%1:19:01::
semeval2013.d003.s012.t001 deal%1:10:00::
semeval2013.d003.s012.t002 ministry%1:14:00::
semeval2013.d003.s013.t000 u.s.%1:15:00::
semeval2013.d003.s013.t002 tie%1:11:00::
semeval2013.d003.s015.t000 bid%1:10:00::
semeval2013.d003.s016.t002 power%1:14:00::
semeval2013.d003.s017.t001 par%1:26:00::
semeval2013.d003.s017.t003 commitment%1:04:02::
semeval2013.d003.s018.t001 bid%1:10:00::
semeval2013.d003.s018.t002 offer%1:10:00::
semeval2013.d003.s018.t003 barrel%1:23:01::
semeval2013.d003.s018.t005 ministry%1:14:00::
semeval2013.d003.s018.t006 output%1:04:00::
semeval2013.d004.s000.t000 bank%1:14:00::
semeval2013.d004.s000.t001 state%1:14:01::
semeval2013.d004.s000.t002 support%1:21:01::
semeval2013.d004.s001.t001 bank%1:14:00::
semeval2013.d004.s001.t002 state%1:14:01::
semeval2013.d004.s002.t001 support%1:21:01::
semeval2013.d004.s002.t002 bank%1:14:00::
semeval2013.d004.s002.t003 protection%1:21:00::
semeval2013.d004.s003.t000 report%1:10:00::
semeval2013.d004.s003.t003 state%1:14:00::
semeval2013.d004.s003.t004 support%1:21:01::
semeval2013.d004.s004.t002 acceptance%1:04:00::
semeval2013.d004.s004.t004 limit%1:23:00::
semeval2013.d004.s004.t006 bonus%1:21:00::
semeval2013.d004.s004.t007 charge%1:21:02::
semeval2013.d004.s006.t002 kitty%1:21:01::
semeval2013.d004.s006.t005 unit%1:24:00::
semeval2013.d004.s007.t000 bank%1:14:00::
semeval2013.d004.s008.t000 bank%1:14:00::
semeval2013.d004.s008.t001 height%1:26:00::
semeval2013.d004.s008.t004 bank%1:14:00::
semeval2013.d004.s009.t002 state%1:14:01::
semeval2013.d004.s010.t002 bank%1:14:00::
semeval2013.d004.s010.t004 increase%1:07:00::
semeval2013.d004.s010.t005 reference%1:10:03::
semeval2013.d004.s010.t006 circle%1:14:00::
semeval2013.d004.s012.t000 support%1:21:01::
semeval2013.d005.s000.t000 appeal%1:04:00::
semeval2013.d005.s002.t000 report%1:10:00::
semeval2013.d005.s003.t000 end%1:11:00::
semeval2013.d005.s003.t001 defense%1:14:00::
semeval2013.d005.s003.t003 trial%1:04:02::
semeval2013.d005.s003.t004 rape%1:04:00::
semeval2013.d005.s004.t001 trial%1:04:02::
semeval2013.d005.s004.t004 end%1:28:00::
semeval2013.d005.s005.t003 appeal%1:04:00::
semeval2013.d005.s006.t001 trial%1:04:02::
semeval2013.d005.s006.t004 circus%1:04:01::
semeval2013.d005.s007.t000 claim%1:10:02::
semeval2013.d005.s007.t001 appeal%1:04:00::
semeval2013.d005.s007.t003 question%1:10:01::
semeval2013.d005.s007.t005 rule%1:10:00::
semeval2013.d005.s008.t000 trial%1:04:02::
semeval2013.d005.s008.t002 inclusion%1:04:00::
semeval2013.d005.s009.t003 claim%1:10:02::
semeval2013.d005.s009.t005 week%1:28:02::
semeval2013.d005.s009.t007 evidence%1:10:00::
semeval2013.d005.s011.t002 coverage%1:10:00::
semeval2013.d005.s011.t003 case%1:04:00::
semeval2013.d005.s011.t004 question%1:10:01::
semeval2013.d005.s011.t005 trial%1:04:02::
semeval2013.d005.s011.t006 fairness%1:09:00::
semeval2013.d005.s012.t002 conviction%1:04:00::
semeval2013.d005.s012.t007 decision%1:09:00::
semeval2013.d005.s012.t008 carnival%1:04:02::
semeval2013.d005.s012.t010 trial%1:04:02::
semeval2013.d005.s014.t002 conviction%1:04:00::
semeval2013.d005.s014.t006 rule%1:10:00::
semeval2013.d005.s014.t010 case%1:04:00::
semeval2013.d005.s015.t000 reason%1:10:00::
semeval2013.d005.s015.t001 concern%1:12:01::
semeval2013.d005.s015.t002 impact%1:19:00::
semeval2013.d005.s015.t003 trial%1:04:02::
semeval2013.d005.s016.t001 appeal%1:04:00::
semeval2013.d005.s016.t006 trial%1:04:02::
semeval2013.d005.s018.t001 example%1:11:00::
semeval2013.d005.s018.t004 reaction%1:09:00::
semeval2013.d005.s020.t005 pressure%1:07:00::
semeval2013.d005.s020.t007 decision%1:09:00::
semeval2013.d005.s022.t002 coverage%1:10:00::
semeval2013.d005.s022.t003 trial%1:04:02::
semeval2013.d005.s023.t000 challenge%1:10:01::
semeval2013.d005.s023.t003 case%1:04:00::
semeval2013.d005.s023.t004 news%1:10:01::
semeval2013.d005.s024.t002 case%1:04:00::
semeval2013.d005.s025.t000 crush%1:04:00::
semeval2013.d005.s025.t003 courthouse%1:06:00::
semeval2013.d005.s026.t001 coverage%1:10:00::
semeval2013.d005.s027.t002 claim%1:10:02::
semeval2013.d005.s027.t003 news%1:10:01::
semeval2013.d005.s027.t004 report%1:10:00::
semeval2013.d005.s027.t007 policy%1:10:00::
semeval2013.d005.s027.t008 coverage%1:10:00::
semeval2013.d005.s027.t009 trial%1:04:02::
semeval2013.d005.s028.t003 change%1:24:00::
semeval2013.d005.s028.t004 adaptation%1:22:00::
semeval2013.d005.s029.t001 claim%1:10:02::
semeval2013.d005.s030.t002 decision%1:09:00::
semeval2013.d005.s030.t003 conviction%1:04:00::
semeval2013.d005.s030.t004 trial%1:04:02::
semeval2013.d005.s030.t005 coverage%1:10:00::
semeval2013.d005.s031.t000 case%1:04:00::
semeval2013.d006.s001.t002 will%1:09:01::
semeval2013.d006.s001.t003 sanction%1:04:02::
semeval2013.d006.s002.t002 game%1:04:03::
semeval2013.d006.s003.t001 end%1:11:00::
semeval2013.d006.s003.t002 game%1:04:03::
semeval2013.d006.s003.t005 time%1:28:05::
semeval2013.d006.s003.t007 card%1:27:00::
semeval2013.d006.s004.t004 sanction%1:04:02::
semeval2013.d006.s004.t005 game%1:04:03::
semeval2013.d006.s004.t007 card%1:27:00::
semeval2013.d006.s005.t001 discipline%1:04:01::
semeval2013.d006.s005.t002 game%1:04:03::
semeval2013.d006.s006.t000 provocation%1:16:00::
semeval2013.d006.s006.t001 card%1:27:00::
semeval2013.d006.s006.t002 circumstance%1:26:02::
semeval2013.d006.s006.t004 world%1:17:02::
semeval2013.d006.s008.t007 nobility%1:07:00::
semeval2013.d006.s008.t008 honor%1:07:00::
semeval2013.d006.s008.t010 act%1:03:00::
semeval2013.d006.s008.t012 history%1:28:02::
semeval2013.d006.s008.t013 technician%1:18:01::
semeval2013.d006.s009.t003 principle%1:10:00::
semeval2013.d006.s009.t010 sense%1:09:04::
semeval2013.d006.s010.t000 matter%1:09:00::
semeval2013.d006.s010.t003 spirit%1:26:00::
semeval2013.d006.s011.t000 advantage%1:07:01::
semeval2013.d006.s011.t002 spirit%1:26:00::
semeval2013.d006.s011.t003 integrity%1:07:00::
semeval2013.d006.s011.t005 aspect%1:07:02::
semeval2013.d006.s011.t008 game%1:04:03::
semeval2013.d006.s012.t000 advantage%1:07:01::
semeval2013.d006.s012.t004 advantage%1:07:01::
semeval2013.d006.s013.t000 thing%1:07:00::
semeval2013.d006.s013.t005 rule%1:10:00::
semeval2013.d006.s013.t006 sanction%1:04:02::
semeval2013.d006.s014.t000 sanction%1:04:02::
semeval2013.d006.s014.t001 complaint%1:10:00::
semeval2013.d006.s015.t000 question%1:10:01::
semeval2013.d006.s015.t002 advantage%1:07:01::
semeval2013.d006.s016.t002 benefit%1:07:00::
semeval2013.d006.s016.t003 game%1:04:03::
semeval2013.d006.s017.t001 game%1:04:03::
semeval2013.d006.s017.t002 club%1:14:00::
semeval2013.d006.s018.t000 advantage%1:07:01::
semeval2013.d006.s018.t004 championship%1:11:00::
semeval2013.d006.s018.t005 card%1:27:00::
semeval2013.d006.s018.t007 game%1:04:03::
semeval2013.d006.s019.t000 term%1:28:00::
semeval2013.d006.s019.t001 advantage%1:07:01::
semeval2013.d006.s019.t002 degree%1:26:01::
semeval2013.d006.s019.t006 addition%1:21:00::
semeval2013.d006.s019.t009 sanction%1:04:02::
semeval2013.d006.s019.t010 game%1:04:03::
semeval2013.d006.s019.t011 cycle%1:11:01::
semeval2013.d006.s019.t012 card%1:27:00::
semeval2013.d006.s019.t013 suspension%1:04:01::
semeval2013.d006.s019.t014 card%1:27:00::
semeval2013.d006.s019.t015 accumulation%1:04:00::
semeval2013.d006.s019.t016 place%1:04:01::
semeval2013.d006.s019.t017 cycle%1:11:01::
semeval2013.d006.s020.t000 round%1:28:01::
semeval2013.d006.s020.t001 advantage%1:07:01::
semeval2013.d006.s021.t001 spirit%1:26:00::
semeval2013.d006.s021.t003 decision%1:09:00::
semeval2013.d006.s021.t004 advantage%1:07:01::
semeval2013.d006.s021.t005 rule%1:10:00::
semeval2013.d006.s022.t000 assumption%1:09:00::
semeval2013.d006.s022.t003 sanction%1:04:02::
semeval2013.d006.s023.t000 decision%1:09:00::
semeval2013.d006.s026.t001 principle%1:10:00::
semeval2013.d007.s000.t001 possibility%1:26:00::
semeval2013.d007.s001.t000 discovery%1:10:00::
semeval2013.d007.s001.t002 arsenic%1:27:00::
semeval2013.d007.s001.t005 form%1:14:02::
semeval2013.d007.s002.t003 life%1:19:00::
semeval2013.d007.s002.t004 possibility%1:26:00::
semeval2013.d007.s002.t005 element%1:27:00::
semeval2013.d007.s003.t001 capability%1:26:00::
semeval2013.d007.s004.t001 arsenic%1:27:00::
semeval2013.d007.s005.t000 form%1:09:01::
semeval2013.d007.s005.t001 life%1:19:00::
semeval2013.d007.s005.t005 journal%1:10:00::
semeval2013.d007.s006.t000 element%1:27:00::
semeval2013.d007.s006.t001 life%1:19:00::
semeval2013.d007.s007.t003 arsenic%1:27:00::
semeval2013.d007.s009.t002 life%1:19:00::
semeval2013.d007.s009.t005 life%1:19:00::
semeval2013.d007.s009.t006 life%1:19:00::
semeval2013.d007.s010.t000 study%1:09:02::
semeval2013.d007.s011.t004 speculation%1:09:00::
semeval2013.d007.s013.t000 discovery%1:09:00::
semeval2013.d007.s013.t003 element%1:27:00::
semeval2013.d007.s013.t006 element%1:27:00::
semeval2013.d007.s013.t007 life%1:19:00::
semeval2013.d007.s013.t009 space%1:15:01::
semeval2013.d007.s015.t000 work%1:06:00::
