semeval2007.d000.s002.t001 statement%1:10:06::
semeval2013.d000.s018.t001 major_power%1:14:00::
semeval2013.d000.s018.t003 greenhouse_gas%1:27:00::
semeval2013.d000.s019.t000 game%1:09:00::
semeval2013.d000.s019.t001 hegemony%1:14:00::
semeval2013.d000.s019.t003 central_america%1:14:00::
semeval2013.d000.s019.t004 climate_change%1:22:00::
semeval2013.d000.s019.t005 adviser%1:18:00::
semeval2013.d000.s020.t002 climate_change%1:22:00::
semeval2013.d000.s021.t000 member%1:14:00::
semeval2013.d000.s021.t001 draft%1:10:00::
semeval2013.d000.s022.t003 push%1:04:01::
semeval2013.d000.s022.t006 action%1:04:04::
semeval2013.d000.s024.t001 minister%1:18:02::
semeval2013.d000.s025.t003 activist%1:18:00::
semeval2013.d000.s025.t006 draft%1:10:00::
semeval2013.d000.s025.t009 e-mail%1:10:00::
semeval2013.d000.s026.t001 minister%1:18:02::
semeval2013.d000.s028.t000 heavyweight%1:18:00::
semeval2013.d001.s000.t001 israel%1:15:00::
semeval2013.d001.s002.t003 teamwork%1:04:00::
semeval2013.d001.s003.t001 sideline%1:15:00::
semeval2013.d001.s005.t000 basket%1:04:00::
semeval2013.d001.s005.t001 perimeter%1:25:00::
semeval2013.d001.s005.t002 speculation%1:10:03::
semeval2013.d001.s005.t003 net%1:06:04::
semeval2013.d001.s006.t000 scorer%1:18:00::
semeval2013.d001.s006.t002 first_period%1:28:00::
semeval2013.d001.s007.t000 quarter%1:28:01::
semeval2013.d001.s007.t004 whistle%1:10:00::
semeval2013.d001.s012.t008 quarter%1:28:01::
semeval2013.d001.s015.t002 last_minute%1:28:00::
semeval2013.d002.s000.t000 wall_street%1:14:00::
semeval2013.d002.s001.t000 new_york_stock_exchange%1:06:00::
semeval2013.d002.s001.t001 heading%1:15:00::
semeval2013.d002.s001.t007 dow_jones%1:10:00::
semeval2013.d002.s001.t008 nasdaq%1:06:00::
semeval2013.d002.s002.t000 closing%1:04:02::
semeval2013.d002.s002.t004 nasdaq%1:06:00::
semeval2013.d002.s005.t000 narrow_margin%1:07:00::
semeval2013.d002.s006.t001 publication%1:04:02::
semeval2013.d002.s006.t008 analyst%1:18:02::
semeval2013.d002.s007.t004 row%1:07:00::
semeval2013.d002.s009.t004 euro%1:23:00::
semeval2013.d002.s010.t001 security%1:21:04::
semeval2013.d002.s012.t000 treasury%1:14:01::
semeval2013.d003.s000.t001 oil_company%1:14:00::
semeval2013.d003.s001.t002 instability%1:07:00::
semeval2013.d003.s001.t004 oil_company%1:14:00::
semeval2013.d003.s001.t005 infrastructure%1:06:00::
semeval2013.d003.s001.t006 auction%1:04:00::
semeval2013.d003.s002.t001 oil_company%1:14:00::
semeval2013.d003.s002.t003 russia%1:15:04::
semeval2013.d003.s002.t004 oil%1:27:01::
semeval2013.d003.s002.t008 oil_industry%1:14:00::
semeval2013.d003.s004.t001 auction%1:04:00::
semeval2013.d003.s005.t000 bid%1:10:00::
semeval2013.d003.s007.t001 oil%1:27:01::
semeval2013.d003.s007.t004 oil_industry%1:14:00::
semeval2013.d003.s007.t005 analyst%1:18:02::
semeval2013.d003.s010.t002 bombing%1:04:01::
semeval2013.d003.s010.t004 instability%1:07:00::
semeval2013.d003.s010.t007 oil_company%1:14:00::
semeval2013.d003.s011.t006 energy%1:19:01::
semeval2013.d003.s011.t009 shareholder%1:18:00::
semeval2013.d003.s012.t002 ministry%1:14:00::
semeval2013.d003.s013.t002 tie%1:11:00::
semeval2013.d003.s015.t000 bid%1:10:00::
semeval2013.d003.s018.t001 bid%1:10:00::
semeval2013.d003.s018.t003 barrel%1:23:01::
semeval2013.d003.s018.t005 ministry%1:14:00::
semeval2013.d004.s000.t002 support%1:21:01::
semeval2013.d004.s002.t001 support%1:21:01::
semeval2013.d004.s003.t002 broadcaster%1:18:00::
semeval2013.d004.s003.t004 support%1:21:01::
semeval2013.d004.s004.t004 limit%1:23:00::
semeval2013.d004.s004.t006 bonus%1:21:00::
semeval2013.d004.s006.t002 kitty%1:21:01::
semeval2013.d004.s012.t000 support%1:21:01::
semeval2013.d005.s001.t001 courtroom%1:06:00::
semeval2013.d005.s003.t004 rape%1:04:00::
semeval2013.d005.s006.t004 circus%1:04:01::
semeval2013.d005.s007.t004 courtroom%1:06:00::
semeval2013.d005.s008.t002 inclusion%1:04:00::
semeval2013.d005.s008.t003 courtroom%1:06:00::
semeval2013.d005.s008.t006 defense_lawyer%1:18:00::
semeval2013.d005.s009.t002 superior_court%1:14:00::
semeval2013.d005.s009.t006 news_media%1:10:00::
semeval2013.d005.s010.t000 last_word%1:10:00:: last_word%1:10:01::
semeval2013.d005.s011.t001 appeals_court%1:14:00::
semeval2013.d005.s011.t002 coverage%1:10:00::
semeval2013.d005.s011.t006 fairness%1:09:00::
semeval2013.d005.s012.t001 united_states_supreme_court%1:14:00::
semeval2013.d005.s012.t004 osteopath%1:18:00::
semeval2013.d005.s012.t008 carnival%1:04:02::
semeval2013.d005.s012.t011 news_media%1:10:00::
semeval2013.d005.s013.t002 television_show%1:10:00::
semeval2013.d005.s014.t001 appeals_court%1:14:00::
semeval2013.d005.s014.t008 courtroom%1:06:00::
semeval2013.d005.s015.t000 reason%1:10:00::
semeval2013.d005.s015.t006 death_penalty%1:04:00::
semeval2013.d005.s016.t005 courtroom%1:06:00::
semeval2013.d005.s018.t000 defense_lawyer%1:18:00::
semeval2013.d005.s018.t001 example%1:11:00::
semeval2013.d005.s020.t000 defense_lawyer%1:18:00::
semeval2013.d005.s020.t001 death_penalty%1:04:00::
semeval2013.d005.s022.t002 coverage%1:10:00::
semeval2013.d005.s023.t000 challenge%1:10:01::
semeval2013.d005.s023.t009 united_states_senate%1:14:00::
semeval2013.d005.s024.t000 news_media%1:10:00::
semeval2013.d005.s025.t000 crush%1:04:00::
semeval2013.d005.s025.t003 courthouse%1:06:00::
semeval2013.d005.s026.t001 coverage%1:10:00::
semeval2013.d005.s027.t008 coverage%1:10:00::
semeval2013.d005.s028.t001 appeals_court%1:14:00::
semeval2013.d005.s028.t004 adaptation%1:22:00::
semeval2013.d005.s030.t005 coverage%1:10:00::
semeval2013.d006.s001.t001 wittiness%1:10:00::
semeval2013.d006.s003.t007 card%1:27:00::
semeval2013.d006.s004.t007 card%1:27:00::
semeval2013.d006.s005.t001 discipline%1:04:01::
semeval2013.d006.s005.t003 trainer%1:18:00::
semeval2013.d006.s006.t000 provocation%1:16:00::
semeval2013.d006.s006.t001 card%1:27:00::
semeval2013.d006.s008.t011 dramatization%1:04:01::
semeval2013.d006.s008.t013 technician%1:18:01::
semeval2013.d006.s011.t000 advantage%1:07:01::
semeval2013.d006.s012.t000 advantage%1:07:01::
semeval2013.d006.s012.t002 lawbreaker%1:18:00::
semeval2013.d006.s012.t004 advantage%1:07:01::
semeval2013.d006.s013.t003 legal_fraud%1:04:00::
semeval2013.d006.s015.t002 advantage%1:07:01::
semeval2013.d006.s015.t003 violator%1:18:01::
semeval2013.d006.s018.t000 advantage%1:07:01::
semeval2013.d006.s018.t004 championship%1:11:00::
semeval2013.d006.s018.t005 card%1:27:00::
semeval2013.d006.s019.t001 advantage%1:07:01::
semeval2013.d006.s019.t003 indetermination%1:07:00::
semeval2013.d006.s019.t006 addition%1:21:00::
semeval2013.d006.s019.t012 card%1:27:00::
semeval2013.d006.s019.t013 suspension%1:04:01::
semeval2013.d006.s019.t014 card%1:27:00::
semeval2013.d006.s020.t001 advantage%1:07:01::
semeval2013.d006.s021.t004 advantage%1:07:01::
semeval2013.d006.s022.t005 legal_fraud%1:04:00::
semeval2013.d006.s024.t001 wittiness%1:10:00::
semeval2013.d006.s024.t006 wittiness%1:10:00::
semeval2013.d007.s000.t000 microbe%1:05:00::
semeval2013.d007.s001.t001 bacterium%1:05:00::
semeval2013.d007.s001.t002 arsenic%1:27:00::
semeval2013.d007.s002.t001 bacterium%1:05:00::
semeval2013.d007.s003.t001 capability%1:26:00::
semeval2013.d007.s004.t001 arsenic%1:27:00::
semeval2013.d007.s007.t001 bacterium%1:05:00::
semeval2013.d007.s007.t002 calif.%1:15:00::
semeval2013.d007.s007.t003 arsenic%1:27:00::
semeval2013.d007.s009.t000 find%1:09:00::
semeval2013.d007.s010.t001 microbe%1:05:00::
semeval2013.d007.s011.t003 find%1:09:00::
semeval2013.d007.s011.t004 speculation%1:09:00::
semeval2013.d007.s011.t005 internet%1:06:00::
semeval2013.d007.s013.t004 biochemistry%1:09:00::
semeval2013.d007.s013.t011 open_university%1:14:00::
semeval2013.d007.s015.t003 biochemistry%1:09:00::
semeval2013.d007.s017.t000 nasa%1:14:00::
semeval2013.d007.s017.t001 astrobiology%1:09:00::
semeval2013.d007.s017.t004 arsenic%1:27:00::
semeval2013.d007.s018.t000 arsenic%1:27:00::
semeval2013.d007.s018.t002 microbe%1:05:00::
semeval2013.d007.s019.t000 arsenic%1:27:00::
semeval2013.d007.s021.t000 arsenic%1:27:00::
semeval2013.d007.s022.t001 bacterium%1:05:00::
semeval2013.d007.s022.t003 arsenic%1:27:00::
semeval2013.d007.s023.t000 microbe%1:05:00::
semeval2013.d007.s023.t002 arsenic%1:27:00::
semeval2013.d007.s023.t004 life_form%1:08:00::
semeval2013.d007.s023.t005 arsenic%1:27:00::
semeval2013.d007.s023.t008 moon%1:17:00::
semeval2013.d007.s023.t009 arsenic%1:27:00::
semeval2013.d007.s024.t000 assistant_professor%1:18:00::
semeval2013.d007.s024.t001 microbiology%1:09:00::
semeval2013.d007.s024.t003 arsenic%1:27:00::
semeval2013.d007.s024.t005 example%1:11:00::
semeval2013.d007.s025.t000 arsenic%1:27:00::
semeval2013.d007.s025.t004 life_form%1:08:00::
semeval2013.d007.s027.t001 nasa%1:14:00::
semeval2013.d007.s027.t002 department_of_energy%1:14:00::
semeval2013.d007.s027.t003 national_institutes_of_health%1:14:00::
semeval2013.d008.s001.t004 private_enterprise%1:14:00::
semeval2013.d008.s008.t000 second%1:24:00::
semeval2013.d008.s008.t001 stability%1:07:01::
semeval2013.d008.s010.t002 economic_growth%1:22:00::
semeval2013.d008.s010.t006 low%1:07:00::
semeval2013.d008.s011.t003 output%1:23:00::
semeval2013.d008.s012.t001 respondent%1:18:00::
semeval2013.d008.s013.t000 respondent%1:18:00::
semeval2013.d008.s014.t002 congress%1:14:02::
semeval2013.d008.s017.t001 safety_net%1:10:00::
semeval2013.d008.s018.t001 economic_commission_for_latin_america%1:14:00::
semeval2013.d008.s018.t003 proportion%1:24:01::
semeval2013.d008.s020.t001 performance%1:22:00::
semeval2013.d008.s021.t001 central_america%1:14:00::
semeval2013.d008.s022.t002 respondent%1:18:00::
semeval2013.d008.s024.t000 performance%1:22:00::
semeval2013.d008.s024.t002 private_enterprise%1:14:00::
semeval2013.d008.s024.t003 market_economy%1:14:00::
semeval2013.d008.s024.t004 respondent%1:18:00::
semeval2013.d008.s024.t006 private_enterprise%1:14:00::
semeval2013.d008.s025.t000 market_economy%1:14:00::
semeval2013.d008.s026.t000 respondent%1:18:00::
semeval2013.d008.s026.t003 private_enterprise%1:14:00::
semeval2013.d008.s027.t004 respondent%1:18:00::
semeval2013.d008.s028.t002 respondent%1:18:00::
semeval2013.d008.s028.t004 central_america%1:14:00::
semeval2013.d008.s028.t007 ecuador%1:15:00::
semeval2013.d008.s028.t009 nicaragua%1:15:00::
semeval2013.d009.s000.t000 healthcare%1:04:01::
semeval2013.d009.s000.t002 challenger%1:18:00::
semeval2013.d009.s001.t003 challenge%1:10:01::
semeval2013.d009.s001.t004 healthcare%1:04:01::
semeval2013.d009.s001.t008 law_firm%1:14:00::
semeval2013.d009.s001.t010 high_court%1:14:00::
semeval2013.d009.s002.t005 review%1:04:02::
semeval2013.d009.s003.t004 healthcare%1:04:01::
semeval2013.d009.s003.t005 overhaul%1:04:01::
semeval2013.d009.s003.t009 rallying_cry%1:10:00::
semeval2013.d009.s003.t010 activist%1:18:00::
semeval2013.d009.s004.t007 swing%1:26:01::
semeval2013.d009.s006.t000 law_firm%1:14:00::
semeval2013.d009.s006.t001 two_dozen%1:23:00::
semeval2013.d009.s006.t004 legal_principle%1:09:00::
semeval2013.d009.s013.t001 ethic%1:10:00::
semeval2013.d009.s015.t007 guest_of_honor%1:18:00::
semeval2013.d009.s015.t008 program%1:04:00::
semeval2013.d009.s016.t000 proximity%1:07:00::
semeval2013.d009.s016.t001 law_firm%1:14:00::
semeval2013.d009.s016.t005 activist%1:18:00::
semeval2013.d009.s017.t001 ethic%1:10:00::
semeval2013.d009.s017.t002 indifference%1:07:01::
semeval2013.d009.s018.t001 fundraiser%1:11:00::
semeval2013.d009.s019.t004 impartiality%1:09:00::
semeval2013.d009.s020.t001 critic%1:18:02::
semeval2013.d009.s021.t001 activist%1:18:00::
semeval2013.d009.s022.t000 conservative%1:18:01::
semeval2013.d009.s023.t000 solicitor_general%1:18:00::
semeval2013.d009.s023.t002 challenge%1:10:01::
semeval2013.d009.s024.t000 critic%1:18:02::
semeval2013.d010.s002.t001 costa_rica%1:15:00::
semeval2013.d010.s003.t001 costa_rica%1:15:00::
semeval2013.d010.s003.t006 san_jose%1:15:00::
semeval2013.d010.s004.t001 number_one%1:24:00::
semeval2013.d010.s006.t006 cup%1:06:01::
semeval2013.d010.s007.t001 world_cup%1:11:00::
semeval2013.d010.s009.t002 goalkeeper%1:18:00::
semeval2013.d010.s009.t008 goalkeeper%1:18:00::
semeval2013.d010.s012.t004 striker%1:18:02::
semeval2013.d010.s015.t002 striker%1:18:02::
semeval2013.d010.s019.t001 presence%1:04:00::
semeval2013.d010.s021.t001 costa_rica%1:15:00::
semeval2013.d010.s022.t000 scorer%1:18:00::
semeval2013.d010.s022.t001 goal%1:04:00::
semeval2013.d011.s001.t008 compatibility%1:07:00::
semeval2013.d011.s001.t013 human_right%1:07:00::
semeval2013.d011.s002.t000 harassment%1:04:00::
semeval2013.d011.s005.t002 unemployed%1:14:00::
semeval2013.d011.s007.t002 territory%1:15:01::
semeval2013.d011.s010.t001 banality%1:10:00::
semeval2013.d011.s012.t013 economic_growth%1:22:00::
semeval2013.d011.s018.t004 anaesthetist%1:18:00::
semeval2013.d011.s018.t005 complementarity%1:24:02::
semeval2013.d011.s020.t005 economic_growth%1:22:00::
semeval2013.d011.s020.t006 proportion%1:24:01::
semeval2013.d011.s020.t011 google%1:10:00::
semeval2013.d011.s020.t012 yahoo%1:10:00::
semeval2013.d011.s021.t000 migrant%1:18:00::
semeval2013.d011.s022.t002 organisation%1:14:01::
semeval2013.d011.s022.t003 example%1:11:00::
semeval2013.d011.s022.t011 euro%1:23:00::
semeval2013.d011.s023.t001 mandate%1:04:00::
semeval2013.d012.s000.t001 fine%1:21:00::
semeval2013.d012.s000.t002 usa%1:15:00::
semeval2013.d012.s001.t002 ceo%1:18:00::
semeval2013.d012.s001.t004 fine%1:21:00::
semeval2013.d012.s001.t005 usa%1:15:00::
semeval2013.d012.s002.t005 usa%1:15:00::
semeval2013.d012.s002.t007 euro%1:23:00::
semeval2013.d012.s002.t010 credit_union%1:14:00::
semeval2013.d012.s004.t000 regulator%1:18:00::
semeval2013.d012.s004.t004 credit_union%1:14:00::
semeval2013.d012.s005.t001 security%1:21:04::
semeval2013.d012.s005.t003 credit_union%1:14:00::
semeval2013.d012.s007.t001 culpability%1:26:00::
semeval2013.d012.s009.t001 responsiveness%1:07:00::
semeval2013.d012.s010.t001 credit_union%1:14:00::
semeval2013.d012.s010.t004 deposit%1:21:01::
semeval2013.d012.s013.t000 regulator%1:18:00::
semeval2013.d012.s014.t000 mortgage-backed_security%1:21:00::
semeval2013.d012.s018.t001 wind%1:19:01::
semeval2013.d012.s018.t002 usa%1:15:00::
semeval2013.d012.s019.t001 regulator%1:18:00::
semeval2013.d012.s019.t005 misconduct%1:04:00::
semeval2013.d012.s021.t002 lender%1:18:00::
semeval2013.d012.s021.t003 fannie_mae%1:14:00::
semeval2013.d012.s021.t004 freddie_mac%1:14:00::
semeval2013.d012.s022.t000 legal_action%1:04:00::
semeval2013.d012.s023.t000 regulator%1:18:00::
semeval2015.d000.s000.t004 assessment%1:04:00::
semeval2015.d000.s001.t002 medicinal%5:00:00:healthful:00
semeval2015.d000.s002.t004 condition%1:26:05::
semeval2015.d000.s002.t008 leaflet%1:10:00::
semeval2015.d000.s005.t003 infusion%1:04:00::
semeval2015.d000.s005.t004 drip%2:35:10::
semeval2015.d000.s006.t002 substance%1:03:01:: substance%1:27:00::
semeval2015.d000.s008.t005 mesothelioma%1:26:00::
semeval2015.d000.s008.t007 lining%1:06:00::
semeval2015.d000.s008.t011 exposure%1:04:01:: exposure%1:26:01::
semeval2015.d000.s008.t012 asbestos%1:27:00::
semeval2015.d000.s009.t001 together_with%4:02:00::
semeval2015.d000.s009.t002 anticancer%3:01:00::
semeval2015.d000.s009.t006 surgery%1:04:01::
semeval2015.d000.s009.t008 malignant%3:00:02::
semeval2015.d000.s009.t019 chemotherapy%1:04:00::
semeval2015.d000.s009.t023 metastatic%3:01:00::
semeval2015.d000.s009.t025 lung_cancer%1:26:00::
semeval2015.d000.s009.t028 squamous_cell%1:08:00::
semeval2015.d000.s010.t008 chemotherapy%1:04:00::
semeval2015.d000.s011.t003 prescription%1:10:01::
semeval2015.d000.s013.t005 anticancer%3:01:00::
semeval2015.d000.s013.t006 chemotherapy%1:04:00::
semeval2015.d000.s014.t002 square_metre%1:23:00::
semeval2015.d000.s015.t004 intravenous%3:01:00::
semeval2015.d000.s015.t005 infusion%1:04:00::
semeval2015.d000.s016.t001 side_effect%1:26:00::
semeval2015.d000.s016.t005 folic_acid%1:27:00::
semeval2015.d000.s016.t008 injection%1:04:01:: injection%1:27:00::
semeval2015.d000.s016.t009 vitamin_b12%1:27:00::
semeval2015.d000.s017.t006 dehydration%1:26:01::
semeval2015.d000.s018.t006 blood_count%1:23:00::
semeval2015.d000.s018.t011 side_effect%1:26:00::
semeval2015.d000.s019.t005 severe%5:00:01:bad:00
semeval2015.d000.s020.t002 see%2:39:13::
semeval2015.d000.s022.t001 substance%1:03:01:: substance%1:27:00::
semeval2015.d000.s022.t002 cytotoxic%3:01:00::
semeval2015.d000.s022.t008 cancer_cell%1:08:00::
semeval2015.d000.s022.t011 antimetabolite%1:06:00::
semeval2015.d000.s023.t009 nucleotide%1:27:00::
semeval2015.d000.s023.t010 building_block%1:17:00::
semeval2015.d000.s023.t011 dna%1:27:00::
semeval2015.d000.s023.t012 rna%1:27:00::
semeval2015.d000.s023.t013 genetic%3:01:02::
semeval2015.d000.s025.t001 malignant%3:00:02::
semeval2015.d000.s025.t003 mesothelioma%1:26:00::
semeval2015.d000.s025.t010 chemotherapy%1:04:00::
semeval2015.d000.s026.t000 effect%1:26:00::
semeval2015.d000.s027.t002 lung_cancer%1:26:00::
semeval2015.d000.s027.t003 effect%1:26:00::
semeval2015.d000.s027.t005 anticancer%3:01:00::
semeval2015.d000.s027.t010 locally%4:02:01::
semeval2015.d000.s027.t012 metastatic%3:01:00::
semeval2015.d000.s027.t015 chemotherapy%1:04:00::
semeval2015.d000.s028.t002 anticancer%3:01:00::
semeval2015.d000.s028.t010 chemotherapy%1:04:00::
semeval2015.d000.s028.t011 lung_cancer%1:26:00::
semeval2015.d000.s031.t004 malignant%3:00:02::
semeval2015.d000.s031.t006 mesothelioma%1:26:00::
semeval2015.d000.s032.t003 average%1:09:01::
semeval2015.d000.s033.t003 lung_cancer%1:26:00::
semeval2015.d000.s034.t002 chemotherapy%1:04:00::
semeval2015.d000.s035.t003 chemotherapy%1:04:00::
semeval2015.d000.s036.t006 squamous_cell%1:08:00::
semeval2015.d000.s037.t004 squamous_cell%1:08:00::
semeval2015.d001.s000.t002 markup%1:10:00::
semeval2015.d001.s001.t000 nowadays%4:02:00::
semeval2015.d001.s001.t004 operation%1:04:01::
semeval2015.d001.s001.t005 arithmetic%3:01:00::
semeval2015.d001.s001.t006 3d%1:09:00::
semeval2015.d001.s004.t001 orient%2:30:00::
semeval2015.d001.s005.t002 window%1:06:03::
semeval2015.d001.s006.t001 window%1:06:03::
semeval2015.d001.s007.t001 window%1:06:03::
semeval2015.d001.s007.t002 consist%2:42:01::
semeval2015.d001.s007.t003 console%1:06:02::
semeval2015.d001.s007.t005 3d%1:09:00::
semeval2015.d001.s008.t002 input%1:06:00::
semeval2015.d001.s008.t003 field%1:14:03::
semeval2015.d001.s009.t007 input%1:06:00::
semeval2015.d001.s011.t002 look%2:42:02::
semeval2015.d001.s012.t000 addition%1:04:01::
semeval2015.d001.s012.t001 subtraction%1:04:01::
semeval2015.d001.s012.t002 multiplication%1:04:00::
semeval2015.d001.s012.t003 division%1:04:01::
semeval2015.d001.s016.t003 variable%1:10:00::
semeval2015.d001.s018.t000 parser%1:10:00::
semeval2015.d001.s018.t003 check%2:32:10::
semeval2015.d001.s019.t000 treat%2:31:00::
semeval2015.d001.s019.t003 treat%2:31:00::
semeval2015.d001.s020.t001 define%2:32:01::
semeval2015.d001.s022.t001 define%2:32:01::
semeval2015.d001.s022.t002 conditional%3:00:00::
semeval2015.d001.s022.t003 operation%1:04:01::
semeval2015.d001.s028.t003 cos%1:24:00::
semeval2015.d001.s028.t004 sin%1:24:00::
semeval2015.d001.s028.t006 trigonometric%3:01:00::
semeval2015.d001.s030.t001 plus%1:04:00::
semeval2015.d001.s032.t003 variable%1:10:00::
semeval2015.d001.s033.t007 log%1:10:02::
semeval2015.d001.s034.t003 variable%1:10:00::
semeval2015.d001.s035.t001 window%1:06:03::
semeval2015.d001.s036.t000 log%1:10:02::
semeval2015.d001.s037.t000 load%2:40:12::
semeval2015.d001.s038.t001 instruction%1:10:02::
semeval2015.d001.s038.t003 sequentially%4:02:00::
semeval2015.d001.s039.t003 library%1:14:01::
semeval2015.d001.s040.t000 save%2:32:04::
semeval2015.d001.s041.t000 save%2:32:04::
semeval2015.d001.s041.t001 instruction%1:10:02::
semeval2015.d001.s041.t003 begin%2:42:02::
semeval2015.d001.s042.t001 text_file%1:10:00::
semeval2015.d001.s042.t005 text_editor%1:10:00::
semeval2015.d001.s043.t000 save%2:32:04::
semeval2015.d001.s043.t001 log%1:10:02::
semeval2015.d001.s044.t000 save%2:32:04::
semeval2015.d001.s044.t001 log%1:10:02::
semeval2015.d001.s044.t003 html%1:10:00::
semeval2015.d001.s044.t005 print%2:36:00::
semeval2015.d001.s046.t000 program%1:10:02::
semeval2015.d001.s046.t001 down%4:02:04::
semeval2015.d001.s048.t002 input%1:06:00::
semeval2015.d001.s048.t004 box%1:25:00::
semeval2015.d001.s049.t002 typical%5:00:00:normal:01
semeval2015.d001.s050.t002 ok%5:00:00:satisfactory:00
semeval2015.d001.s050.t006 window%1:06:03::
semeval2015.d001.s051.t004 view%1:07:01::
semeval2015.d001.s052.t004 mode%1:26:00::
semeval2015.d002.s000.t003 organise%2:41:00::
semeval2015.d002.s001.t002 interest_group%1:14:00::
semeval2015.d002.s001.t008 actor%1:18:01::
semeval2015.d002.s001.t015 organisation%1:14:00:: organisation%1:14:01::
semeval2015.d002.s004.t004 ministry%1:14:00::
semeval2015.d002.s004.t006 affairs%1:04:00::
semeval2015.d002.s005.t011 humanise%2:37:00::
semeval2015.d002.s006.t010 organisation%1:14:00:: organisation%1:14:01::
semeval2015.d002.s007.t005 banking%1:04:01::
semeval2015.d002.s008.t009 social_affair%1:14:00::
semeval2015.d002.s008.t010 directorate%1:14:00::
