42D.d000.s001.t014 depth%1:15:00::
senseval2.d001.s006.t007 level%1:09:00::
senseval2.d001.s008.t005 simply%4:02:01::
senseval2.d001.s011.t001 identify%2:31:01::
senseval2.d001.s013.t011 turn%2:42:13::
senseval2.d001.s013.t015 only%4:02:03::
senseval2.d001.s019.t012 occur%2:42:03::
senseval2.d001.s020.t012 fate%1:26:00::
senseval2.d001.s023.t000 make%2:30:10::
senseval2.d001.s023.t002 say%2:32:15::
senseval2.d001.s025.t009 make%2:36:12::
senseval2.d001.s026.t011 say%2:32:15::
senseval2.d001.s027.t008 show%2:39:00::
senseval2.d001.s027.t010 there%4:02:02::
senseval2.d001.s029.t000 make%2:36:12::
senseval2.d001.s030.t009 turn%2:42:13::
senseval2.d001.s032.t010 kill%2:35:02::
senseval2.d001.s036.t009 explain%2:32:02::
senseval2.d001.s036.t015 family%1:14:01::
senseval2.d001.s041.t005 specific%5:00:00:specified:00
senseval2.d001.s041.t009 pair%1:23:00::
senseval2.d001.s045.t008 role%1:07:00::
senseval2.d001.s052.t002 say%2:32:15::
senseval2.d001.s052.t003 now%4:02:04::
senseval2.d001.s055.t003 believe%2:31:03::
senseval2.d001.s055.t004 right%3:00:04::
senseval2.d001.s057.t002 attention%1:09:01::
senseval2.d001.s058.t000 believe%2:31:03::
senseval2.d001.s058.t009 seem%2:39:01::
senseval2.d001.s060.t005 often%4:02:02::
senseval2.d001.s060.t010 sign%1:26:00::
senseval2.d001.s067.t009 say%2:32:15::
senseval2.d001.s073.t000 doubt%1:07:00::
senseval2.d001.s076.t016 form%1:07:03::
senseval2.d001.s077.t008 say%2:32:15::
senseval2.d001.s080.t013 form%1:07:03::
senseval2.d001.s082.t002 week%1:28:02::
senseval2.d001.s082.t007 take%2:30:00::
senseval2.d001.s083.t008 take%2:30:00::
senseval2.d001.s087.t000 believe%2:31:03::
senseval2.d001.s090.t008 turn%2:42:13::
senseval2.d001.s092.t000 idea%1:09:01::
senseval2.d001.s094.t001 say%2:32:15::
senseval2.d002.s003.t005 relinquish%2:40:00::
senseval2.d002.s003.t007 metaphysical%5:00:00:theoretical:00
senseval2.d002.s004.t008 seem%2:39:01::
senseval2.d002.s006.t000 ask%2:32:04::
senseval2.d002.s006.t004 wish%2:37:01::
senseval2.d002.s011.t004 romantic%5:00:00:impractical:00
senseval2.d002.s011.t011 frustration%1:04:02::
senseval2.d002.s012.t003 romantic%5:00:00:impractical:00
senseval2.d002.s014.t002 survive%2:42:02::
senseval2.d002.s018.t003 call%2:32:00::
senseval2.d002.s019.t005 even%4:02:01::
senseval2.d002.s019.t010 often%4:02:02::
senseval2.d002.s021.t003 college%1:14:01::
senseval2.d002.s037.t003 thing%1:09:02::
senseval2.d002.s042.t002 need%2:34:01::
senseval2.d002.s050.t008 involvement%1:26:01::
senseval2.d002.s053.t001 kid%1:18:01::
senseval2.d002.s053.t002 play%2:41:02::
senseval2.d002.s055.t001 involvement%1:26:01::
senseval2.d002.s058.t002 system%1:14:00::
senseval2.d002.s058.t005 even%4:02:03::
senseval2.d002.s059.t008 thing%1:09:02::
senseval2.d002.s060.t005 influence%1:19:00::
senseval2.d002.s061.t005 even%4:02:01::
senseval2.d002.s062.t007 pile%2:35:03::
senseval2.d002.s065.t004 allow%2:42:00::
senseval2.d002.s067.t007 flourish%2:40:00::
senseval2.d002.s069.t002 encourage%2:32:00:: encourage%2:37:00::
senseval2.d002.s070.t001 believe%2:31:03::
senseval2.d002.s072.t003 often%4:02:02::
senseval2.d002.s074.t012 influence%1:19:00::
senseval2.d002.s076.t004 large%5:00:00:significant:00
senseval2.d002.s080.t001 ruffle%2:37:01::
senseval3.d000.s006.t002 bright%5:00:00:happy:00
senseval3.d000.s011.t004 occasion%1:26:00::
senseval3.d000.s012.t000 stranger%1:18:01::
senseval3.d000.s012.t006 street%1:06:01::
senseval3.d000.s012.t007 light%1:10:00::
senseval3.d000.s013.t002 horn%1:06:05::
senseval3.d000.s016.t008 jump%2:38:11::
senseval3.d000.s019.t006 say%2:32:15::
senseval3.d000.s023.t004 say%2:32:15::
senseval3.d000.s024.t000 light%1:10:00::
senseval3.d000.s024.t004 street%1:06:01::
senseval3.d000.s030.t004 uneasy%5:00:00:uncomfortable:01
senseval3.d000.s031.t010 stare%2:29:00::
senseval3.d000.s033.t000 think_of%2:31:04::
senseval3.d000.s040.t000 return%2:40:03::
senseval3.d000.s050.t000 say%2:32:01:: say%2:32:13::
senseval3.d000.s055.t001 address%1:10:02::
senseval3.d000.s064.t001 say%2:32:15::
senseval3.d000.s069.t004 night%1:28:03::
senseval3.d000.s078.t004 ask%2:32:04::
senseval3.d000.s082.t006 smash%2:35:05::
senseval3.d000.s086.t005 question%1:10:03::
senseval3.d000.s089.t000 stranger%1:18:01::
senseval3.d000.s090.t002 lousy%5:00:00:nasty:00
senseval3.d000.s092.t000 say%2:32:13::
senseval3.d000.s094.t000 stranger%1:18:01::
senseval3.d000.s098.t003 night%1:28:03::
senseval3.d000.s100.t007 water%1:13:00::
senseval3.d000.s106.t007 smile%2:32:00::
senseval3.d000.s106.t008 secret%5:00:03:covert:00
senseval3.d000.s113.t004 ask%2:32:04::
senseval3.d000.s114.t000 make%2:41:13::
senseval3.d000.s116.t001 encourage%2:32:00::
senseval3.d000.s119.t004 talk%2:32:03::
senseval3.d000.s120.t011 face%1:07:03::
senseval3.d000.s120.t012 bright%5:00:00:happy:00
senseval3.d000.s122.t000 pay%2:40:14::
senseval3.d000.s135.t002 job%1:04:02::
senseval3.d000.s141.t001 harm%1:11:01::
senseval3.d000.s144.t002 say%2:32:15::
senseval3.d000.s146.t002 thing%1:06:01::
senseval3.d000.s151.t000 stranger%1:18:01::
senseval3.d001.s000.t010 level%1:09:00::
senseval3.d001.s004.t011 vote%1:09:00::
senseval3.d001.s004.t016 vote%1:09:00::
senseval3.d001.s009.t002 brand%1:09:00::
senseval3.d001.s009.t015 public%5:00:00:common:02
senseval3.d001.s009.t016 action%1:04:04::
senseval3.d001.s010.t010 action%1:04:04::
senseval3.d001.s018.t002 appear%2:39:01::
senseval3.d001.s018.t005 thing%1:11:00::
senseval3.d001.s019.t006 election%1:26:00::
senseval3.d001.s019.t014 confront%2:32:03::
senseval3.d001.s020.t000 explain%2:32:02::
senseval3.d001.s020.t017 cost%1:07:01::
senseval3.d001.s020.t021 do%2:29:09:: do%2:41:04::
senseval3.d001.s027.t011 competitive%5:00:00:aggressive:00
senseval3.d001.s029.t005 share%1:04:00::
senseval3.d001.s029.t011 benefit%1:21:00::
senseval3.d001.s029.t018 keep%2:41:02::
senseval3.d001.s033.t012 colleague%1:18:01::
senseval3.d001.s035.t009 political%3:01:01::
senseval3.d001.s039.t004 proportion%1:24:01::
senseval3.d001.s041.t008 advantage%1:07:01::
senseval3.d001.s041.t009 regional%5:00:00:territorial:00
senseval3.d001.s041.t022 positive%5:00:00:plus:00
senseval3.d001.s041.t028 state%1:14:00::
senseval3.d001.s041.t034 state%1:14:00::
senseval3.d001.s042.t002 president%1:04:04::
senseval3.d001.s043.t007 level%1:09:00::
senseval3.d001.s043.t009 level%1:09:00::
senseval3.d001.s044.t003 line%1:09:00::
senseval3.d001.s045.t008 state%1:14:00::
senseval3.d001.s045.t011 vote%1:09:00::
senseval3.d001.s045.t017 share%1:04:00::
senseval3.d001.s045.t020 positive%5:00:00:plus:00
senseval3.d001.s046.t004 level%1:09:00::
senseval3.d002.s003.t002 come%2:38:02::
senseval3.d002.s005.t003 come_up%2:35:00::
senseval3.d002.s015.t002 game%1:04:03::
senseval3.d002.s016.t004 table%1:14:01::
senseval3.d002.s016.t006 smile%2:32:00::
senseval3.d002.s018.t008 toss%2:35:00:: toss%2:35:05::
senseval3.d002.s029.t004 thing%1:09:02::
senseval3.d002.s046.t002 crack%1:07:00::
senseval3.d002.s047.t001 damn%5:00:02:cursed:00
senseval3.d002.s072.t005 behavior%1:04:01::
senseval3.d002.s077.t000 numb%5:00:00:afraid:00
senseval3.d002.s082.t011 refuge%1:07:00::
senseval3.d002.s086.t016 rhythm%1:28:00::
senseval3.d002.s088.t007 continue%2:30:10::
senseval3.d002.s099.t000 realize%2:31:00::
senseval3.d002.s109.t005 couple%1:14:01::
senseval3.d002.s111.t004 come%2:30:01::
senseval3.d002.s119.t003 roll%2:38:10::
senseval3.d002.s125.t007 ground%1:27:00::
senseval3.d002.s140.t007 say%2:32:15::
senseval3.d002.s140.t011 say%2:32:15::
